0;177917;640269;410799;46431;365298;242786;27525;552143;997;66459;561974;1356;313637;178882;466754;703;776;482814;252654;631;1265;52923;586709;265285;1508;17057;1390;50243;494523;158511
1;20301;44988;15594;322720;177682;41150;52386;37489;613130;1469;1012;185966;251772;529962;796;669307;443253;42024;135419;400025;165323;1207;2876;391697;367263;448486;1575;459694;1323;194363
2;317380;765804;671346;6121;315677;433357;512503;212173;204476;495195;173250;32878;1951;476327;437104;103543;350582;92375;218808;566;42773;224201;134529;78553;205936;1460;2529;3286;272374;889
3;1104;20220;66388;303724;279407;39665;19285;2533;535810;1027;170817;289897;729414;1631;266080;153051;564939;21999;566;408361;1434;4168;131388;392321;559;368763;485994;111266;64937;2394
4;78177;768105;961905;222037;286754;246268;444364;287275;195408;220759;17592;1820;31559;89890;438914;1014;322900;155924;89375;1062;23783;380544;729288;393477;509540;32580;14002;380747;412612;546932
5;320165;1226;355458;1961;362205;31435;569;1663;575;203869;155906;651046;205585;38153;10985;523137;21230;502649;337278;370308;56160;2006;64260;89055;10731;770;506194;44094;15099;14537
6;3378;511145;637784;454779;4157;380839;642440;457510;631;15334;1783;18670;1343;553693;83221;775579;706467;156066;312580;27244;114241;306504;723853;330082;512835;30262;447268;447441;648385;600939
7;323690;216815;74569;3514;510898;342865;568;96693;430719;279287;162527;731268;261971;5816;30787;771;332539;525909;271239;363249;461264;4739;321450;30975;1011;349625;44582;4813;3444;3993
8;140997;424008;465957;458020;190026;445908;641938;624040;9757;18855;1097;165976;458679;654598;485667;572618;1395;496586;482853;550116;113680;21562;655;358842;427824;864;447245;454419;311417;150365
9;11026;1690;782;41753;235687;494479;16084;2551;420569;195137;422473;1324;631698;548933;9123;11793;332378;54900;9133;3493;125031;1330;429943;5382;4220;337413;75757;552;45543;107549
10;425706;387315;479719;532473;132092;232384;649532;619402;265181;317126;172017;51747;57733;1560;489709;407432;145745;561116;409242;490248;598335;703;363545;535571;352814;341756;63083;277000;38306;131596
11;7950;857;359841;12275;190936;390192;3499;8308;78429;3780;219146;451202;507881;580963;189073;581654;388865;593;128428;113576;236047;220805;695;27332;706970;251352;84539;1142;496663;341012
12;309282;704187;649168;546534;859;231471;647098;644615;546068;630722;1872;8487;2089;71829;209256;59968;773255;238065;393743;405073;529088;166965;370828;573470;1646;624041;131974;337634;3130;13255
13;1583;379669;516784;88471;66242;338642;615;8802;180578;1209;251310;63036;202520;546963;29612;168428;575;342274;86341;13111;162936;2657;1069;1328;595884;184798;8773;6946;618373;29079
14;97228;315029;1412;153193;219642;380946;412387;193956;737789;587040;62149;8620;1654;25966;544952;3047;903773;305782;438334;571990;384599;242288;367301;656;184168;203554;531634;627051;1630;712
15;1187;380508;524969;362759;325445;312913;79474;8098;3378;58705;417146;55728;1377;661;188984;465073;357255;355739;24944;8464;23719;37322;722951;551;652798;345173;467668;15472;624625;8402
16;1194;21302;540933;665566;26174;408180;303086;98624;652566;165770;145715;421023;1353;1352;545065;779880;1198;22554;60535;464222;540832;217982;59036;473993;526176;242632;840;616752;234256;456063
17;3564;21720;333805;21278;469303;334837;80247;1432;3501;422446;441760;1467;289232;548542;493959;21599;385154;363368;743068;606;120499;741381;682821;1914;25257;269747;510587;1477;523517;70555
18;8468;536917;566710;395268;156848;89691;318656;66797;725492;1661;292974;1594;286731;2344;234227;821006;815577;944;53521;463839;573050;7516;518245;521568;162525;228223;8597;25412;431684;532834
19;407992;9489;130397;5223;439693;231281;57088;12886;17378;491446;1235;76500;12187;592000;707051;473673;2011;248697;423830;1505;120091;723916;31072;1354;497198;368893;177446;99574;281344;11523
20;138876;388033;439478;367792;450256;57480;68701;551138;624693;238599;266322;328341;390449;150971;993;355180;457853;51891;702567;631984;516431;107555;524715;531068;503304;149022;270019;426879;449663;297338
21;76056;99302;2922;669;95135;809;216392;1380;136953;334128;10083;35347;4172;2042;581222;718192;867731;144905;29822;7131;11630;132719;556;1651;225817;1367;6948;50160;198945;30972
22;103079;827272;670828;135991;582748;331719;570660;361615;584802;265185;277174;680371;351858;1368;186161;321294;2886;575957;700199;653447;400537;57435;326916;523368;1273;288755;269546;429526;685185;165932
23;224568;16355;1144;12239;647;145995;894;496869;1193;336303;1527;2599;4546;534515;533295;363999;866572;32453;299599;577;2092;622044;822;1312;152664;108083;724455;47636;131491;1933
