0;82487;113900;58550;183575;129430;189235;72265;203544;197257;205363;66687;188804;111233;26921;54159;149734;198629;194589;174799;154603;197702;185117;120068;32951;159439;31392;172993;194766;204327;10232
1;71898;103777;50416;177069;120847;183007;59547;192368;191110;200055;58942;179517;99105;18341;44384;137513;193703;186049;168049;146580;191383;176334;108406;22210;148774;21772;165824;187958;198758;199818
2;58205;94405;36994;168000;109924;170018;47657;184222;181512;191473;48640;169489;95233;5867;35630;126530;184403;177940;157243;133687;179387;165327;97228;10622;138000;9997;156123;178858;189982;193485
3;46849;83050;26755;159547;96206;160082;37088;171987;171270;181784;37672;159580;86960;200726;23407;113506;174088;172112;149436;124705;174473;155209;82027;189882;128272;201165;146265;168361;182614;190137
4;34443;69732;12461;150176;87035;151414;27916;160623;162427;168096;28275;150807;74855;198357;11732;103490;163262;159811;140299;116794;157056;147236;71059;187436;116742;198088;136966;157464;171346;182488
5;207246;61057;210681;138574;75898;138146;19957;146937;152815;158081;17401;139855;63367;191112;205378;91186;153052;147784;129843;108094;149197;133925;60624;180782;108035;190618;126206;145194;160775;170956
6;202734;47030;205811;127472;64471;125675;9829;135766;140821;143125;8168;127621;52436;183494;202688;78097;142043;133480;117090;99572;136806;125508;50457;173262;96383;182751;113837;134618;150592;160274
7;193358;35269;200224;115230;54622;113607;200089;122575;129884;130742;191816;118112;37367;170950;193494;63180;132843;119123;103487;84460;125415;115122;41044;162864;84156;172427;102184;123425;138545;153672
8;189100;27254;190965;105670;47042;104763;196428;108826;120211;122040;189324;106210;26868;161022;186733;50518;120721;113955;96197;73938;110079;104594;30892;156702;71457;162971;89813;110269;127353;142856
9;172055;12908;181665;95434;35392;93033;190510;97781;106482;108807;183302;96043;14003;149428;175195;39368;109162;96277;85187;65181;97208;90087;21036;147662;60351;151991;79256;98759;116430;129292
10;202600;207798;172269;86817;24867;82472;179861;84347;97537;95507;176814;83877;196819;135942;165278;29767;96128;88143;76676;51884;87067;78300;9759;133978;48961;141052;68884;86928;106021;119909
11;188806;204346;161933;76936;12547;72926;170557;74843;83267;84167;165309;72806;194071;124450;154785;17656;88654;78250;67326;43087;77986;65772;197089;124011;40536;128413;58093;75661;91970;104123
12;174831;199309;151584;65746;199775;63263;161839;61520;74145;73293;156000;61649;182745;110626;143553;7256;76600;68562;57875;31325;68069;56563;193820;111687;28334;117452;45069;65027;80495;94430
13;163063;191737;139050;57482;196438;54857;151886;49831;62829;61034;146009;51433;181112;100574;132606;211107;65904;59289;45367;20588;54157;46889;186852;99972;17471;107498;35493;53101;68645;83972
14;152307;180832;129679;45844;190775;41103;138696;38919;52738;51542;135367;40108;174569;86345;120437;206807;56614;51785;33548;10510;45575;35618;177088;88239;9255;95418;23708;43957;57084;70184
15;141413;170021;117647;36039;182273;30914;129004;31800;41404;41584;127206;32014;163878;77848;110211;202386;45089;41826;24268;192471;37938;23659;170391;79678;198862;87609;11962;34199;48649;63212
16;130601;161273;104341;25212;172772;22067;119513;20314;32360;33369;115652;20686;152941;67073;97971;191505;33804;29414;16302;187583;28979;15618;160203;70460;193505;74524;202788;23646;36505;54325
17;118150;146621;94172;12713;161411;11585;106560;9902;21929;23045;103920;8690;145127;56329;88814;182654;21389;20635;6776;180639;19630;7464;152803;59477;185809;62392;200937;11184;26126;41486
18;104613;138905;81827;192733;151466;198057;94005;214721;9921;10230;92912;200860;133445;47484;77731;172353;10397;9822;183522;173636;6295;193402;138968;51222;176321;52121;193885;204262;9876;31472
19;94179;125599;70014;189120;140640;194333;84854;211711;198503;209996;78584;196066;125633;37344;65372;161606;202896;195700;182332;164464;201046;191350;127201;41936;167357;41503;186249;202693;206262;20885
